"","name_text6","state_text6","last_digit_text6"
"7","*Abbeville Water and Electric Plant","South Carolina","715"
"8","•Abbeville Water & Light Plant","Louisiana","289"
"9","Abbott Younglove Power Plant","Ohio","594"
"10","•Aberdeen Electric Department","Mississippi","408"
"11","Abington Electric Company","Pennsylvania","668"
"12","*Acequia Mutual Electric Company","Idaho","126"
"13","•Ackley Municipal Light and Power","Iowa","206"
"14","*Acworth Water & Light Commission","Georgia","105"
"15","*Adams County Cooperative Electric Company","Iowa","227"
"16","*Adams Electrical Cooperative","Illinois","153"
"17","Adams Electric Light Company","New York","526"
"18","•Adams-Marquette Electric Cooperative","Wisconsin","889"
"19","*Ada Water & Light Department, City of","Minnesota","379"
"20","*Adel Light & Water Department","Georgia","106"
"21","•Adrian Light and Water Commission","Minnesota","379"
"22","•Advance Municipal Light & Power Utility","Indiana","171"
"23","*Afton Electric Light System","Iowa","206"
"24","•Agricultural and Mechanical College Power Plant-","Texas","771"
"25","•Aiken Electric Cooperative, Inc","South Carolina","718"
"26","•Aitkin Light and Water Commission","Minnesota","379"
"27","Ajo Improvement Company","Arizona","15"
"28","•Akron Light and Water Works","Iowa","206"
"29","•Akron Water, Light, and Sewer Commission","New York","549"
"30","•Alabama Electric Cooperative","Alabama","12"
"31","Alabama Marble Company","Alabama","5"
"32","Alabama Power Company","Alabama —","1"
"33","Alabama Water Service Company","Alabama","4"
"34","•Alachua, City of.","Florida","91"
"36","Public Utilities","California","50"
"37","•Albany. City of","Georgia","106"
"38","Albany Lighting Co","Illinois","130"
"39","•Albany Municipal Power Plant","Missouri","432"
"40","•Albany, Village of.","Illinois","144"
"41","*Albemarle Municipal Light Department","North Carolina","569"
"42","Alberine Stone Corporation of Virginia","Virginia","818"
"43","Albemarle Paper Company","Virginia","818"
"44","*Albertville, Electric Department, City of","Alabama","7"
"45","Albia Light and Railway Company","Iowa","193"
"46","Albion Light & Water Co","Rhode Island","705"
"47","•Albion Municipal Lighting Department","Idaho","123"
"48","•Albion Water and Light Department","Indiana","171"
"49","Albuquerque Gas and Electric Company","New Mexico","519"
"50","* Alcorn County Electric Power Association","Mississippi","413"
"51","Alden Mills, The __","Mississippi","407"
"52","•Alder Mutual Light Company","Washington","839"
"53","•Alexander City Electric Light Plant","Alabama","7"
"54","Alexander Manufacturing Co","North Carolina.","567"
"56","322184—42 1","","1"
"60","* Alexandria Board of Public Works","Minnesota ","380"
"61","* Alexandria Electric Light & Water Works","Louisiana ","290"
"62","* Alexandria Light Department","Nebraska ","465"
"63","*Alf alfa Electric Cooperative, Inc","Oklahoma ","651"
"64","*Alger-Delta Cooperative Electric Association","Michigan ","364"
"65","*Algoma Utility Commission","Wisconsin ","875"
"66","*Algona Light and Water Plant","Iowa ","206"
"67","*Aline Electric Light System","Oklahoma ","640"
"68","*Allamakee-Clayton Electric Cooperative, Inc","Iowa ","227"
"69","*Allegan Board of Public Works","Michigan ","355"
"70","Allegheny Pittsburgh Coal Co","Pennsylvania ","694"
"71","Allegheny River Mining Company","Pennsylvania ","694"
"72","Allen County Supply Company","Kansas ","243"
"74","Corporation","Indiana ","184"
"75","*Alliance Municipal Utilities","Nebraska ","465"
